product_id,name,category,price,stock,min_reorder
PRD-1001,Bread Brand-9,Bakery,36.05,30,25
PRD-1002,Apples Brand-14,Bakery,6.22,78,27
PRD-1003,Soap Brand-27,Personal Care,15.99,5,18
PRD-1004,Bread Brand-42,Canned Goods,4.2,45,28
PRD-1005,Biscuits Brand-14,Bakery,42.61,45,25
PRD-1006,Cooking Oil Brand-45,Meat,25.9,55,18
PRD-1007,Juice Brand-7,Produce,22.92,92,14
PRD-1008,Cooking Oil Brand-1,Meat,44.58,22,14
PRD-1009,Juice Brand-30,Dairy,24.22,61,17
PRD-1010,Juice Brand-22,Dairy,22.26,1,16
PRD-1011,Soap Brand-23,Bakery,12.25,88,13
PRD-1012,Biscuits Brand-19,Meat,15.57,62,11
PRD-1013,Soap Brand-43,Bakery,37.44,90,27
PRD-1014,Chicken Brand-1,Personal Care,26.03,17,17
PRD-1015,Salt Brand-26,Dairy,23.31,18,14
PRD-1016,Milk Brand-23,Personal Care,38.9,67,17
PRD-1017,Salt Brand-30,Beverages,34.05,57,10
PRD-1018,Rice Brand-19,Cleaning,42.26,3,14
PRD-1019,Chicken Brand-15,Dairy,3.24,59,12
PRD-1020,Biscuits Brand-38,Meat,43.16,11,18
PRD-1021,Biscuits Brand-13,Meat,1.72,42,26
PRD-1022,Salt Brand-36,Bakery,18.43,66,22
PRD-1023,Chicken Brand-45,Bakery,26.84,44,15
PRD-1024,Biscuits Brand-29,Cleaning,34.73,93,24
PRD-1025,Sugar Brand-35,Meat,22.25,6,18
PRD-1026,Chicken Brand-11,Personal Care,20.5,13,28
PRD-1027,Soap Brand-15,Dairy,6.34,82,29
PRD-1028,Apples Brand-38,Meat,44.22,5,12
PRD-1029,Juice Brand-24,Dairy,32.62,52,29
PRD-1030,Sugar Brand-17,Personal Care,2.28,49,10
PRD-1031,Soap Brand-43,Cleaning,19.29,61,19
PRD-1032,Sugar Brand-9,Bakery,17.8,79,27
PRD-1033,Salt Brand-5,Bakery,2.24,80,12
PRD-1034,Soap Brand-40,Bakery,15.18,54,19
PRD-1035,Bread Brand-46,Personal Care,44.62,7,29
PRD-1036,Bread Brand-18,Cleaning,29.14,31,16
PRD-1037,Biscuits Brand-5,Produce,32.05,65,11
PRD-1038,Cooking Oil Brand-17,Meat,25.19,87,14
PRD-1039,Soap Brand-39,Beverages,27.45,49,27
PRD-1040,Sugar Brand-47,Dairy,34.92,42,13
PRD-1041,Flour Brand-41,Personal Care,33.07,54,15
PRD-1042,Salt Brand-49,Produce,22.66,73,15
PRD-1043,Soap Brand-43,Meat,12.85,1,28
PRD-1044,Apples Brand-19,Beverages,37.82,24,26
PRD-1045,Cooking Oil Brand-10,Personal Care,7.79,1,18
PRD-1046,Salt Brand-35,Dairy,21.0,17,10
PRD-1047,Cooking Oil Brand-35,Meat,26.82,85,27
PRD-1048,Biscuits Brand-1,Dairy,23.81,6,10
PRD-1049,Milk Brand-11,Canned Goods,24.08,100,29
PRD-1050,Apples Brand-3,Meat,44.87,14,14
PRD-1051,Soap Brand-35,Meat,42.35,29,14
PRD-1052,Flour Brand-42,Canned Goods,21.49,32,30
PRD-1053,Salt Brand-20,Meat,35.84,77,27
PRD-1054,Soap Brand-38,Produce,44.42,43,15
PRD-1055,Juice Brand-38,Produce,10.09,21,15
PRD-1056,Bread Brand-7,Bakery,41.05,52,21
